Variable 1,Variable 2,Chi2 Stat,p-value,Degrees of Freedom
review_class,country,307.82059384715365,3.7135333942525295e-26,88
review_class,company,638.6723789137066,6.601780066357481e-137,4
country,company,961.0184164799373,5.7575084036105215e-58,352
country,detected_language,363.2494845360823,3.9915058521967154e-35,88
country,category,1629.2508312178693,1.1210221453899934e-05,1394
company,category,532.7259991420422,2.454305573325729e-48,136
